,Time,layer_1,layer_2,layer_3,layer_4
34,10091.1572265625,187.55625915527344,376.506103515625,375.6787109375,49.8995361328125
35,10091.2421875,188.00405883789062,377.16094970703125,376.1639099121094,50.11651611328125
36,10091.32421875,188.4470977783203,378.73895263671875,376.932861328125,50.327911376953125
37,10091.41015625,188.92254638671875,380.3778076171875,378.0505065917969,50.54676818847656
38,10091.4921875,189.4101104736328,382.46807861328125,379.4438171386719,50.758819580078125
39,10091.578125,189.953369140625,385.12908935546875,381.2856140136719,50.9788818359375
40,10091.6630859375,190.53018188476562,388.0479736328125,383.5318298339844,51.20159912109375
41,10091.7451171875,191.0899200439453,390.1517333984375,385.80230712890625,51.4217529296875
42,10091.8310546875,191.64523315429688,391.2757568359375,387.79937744140625,51.65643310546875
43,10091.9130859375,192.14358520507812,391.03466796875,389.0011291503906,51.89213562011719
44,10091.9990234375,192.62327575683594,390.62969970703125,389.6297302246094,52.14398193359375
45,10092.998046875,198.55929565429688,383.6395263671875,383.3301086425781,55.073394775390625
46,10093.9970703125,204.33221435546875,387.40948486328125,386.488525390625,58.161163330078125
47,10094.99609375,209.39376831054688,399.088134765625,397.5777893066406,61.227630615234375
48,10095.99609375,214.54617309570312,411.91094970703125,410.20111083984375,63.87068176269531
49,10096.9951171875,218.34185791015625,410.39849853515625,409.7336120605469,66.04017639160156
50,10097.0810546875,218.63360595703125,403.5452880859375,407.79083251953125,66.22744750976562
51,10097.15625,218.85037231445312,401.574951171875,405.60833740234375,66.39727783203125
52,10097.2412109375,219.07846069335938,401.5263671875,403.9105224609375,66.58628845214844
53,10097.32421875,219.3380126953125,406.0458984375,404.2801208496094,66.769775390625
54,10097.4091796875,219.64752197265625,409.15521240234375,405.908203125,66.95985412597656
55,10097.4912109375,219.99119567871094,412.1468505859375,408.12060546875,67.14517211914062
56,10097.5771484375,220.39930725097656,414.28411865234375,410.25885009765625,67.34013366699219
57,10097.662109375,220.84603881835938,416.1854248046875,412.2538757324219,67.54170227050781
58,10097.7451171875,221.26644897460938,417.2186279296875,413.9568176269531,67.74545288085938
59,10097.830078125,221.65274047851562,416.83233642578125,415.0191955566406,67.96635437011719
60,10097.912109375,221.9478759765625,412.4390869140625,414.35504150390625,68.18983459472656
61,10097.998046875,222.18093872070312,408.511474609375,412.35223388671875,68.42893981933594
62,10098.9970703125,225.44549560546875,420.2958984375,419.3406982421875,71.15934753417969
63,10099.99609375,229.00064086914062,423.12060546875,422.36761474609375,73.97149658203125
64,10100.99609375,231.95083618164062,421.069580078125,420.8440246582031,76.78883361816406
65,10101.9951171875,234.06143188476562,418.99871826171875,419.0379333496094,79.60432434082031
66,10102.994140625,235.64651489257812,419.09930419921875,418.7618408203125,82.40835571289062
67,10103.994140625,237.74014282226562,425.0841064453125,424.31988525390625,85.1748046875
68,10104.9931640625,239.28350830078125,423.79522705078125,423.5462341308594,87.74783325195312
69,10105.9921875,241.36920166015625,431.7344970703125,430.7575988769531,90.21205139160156
70,10106.9921875,241.45455932617188,416.78662109375,417.56146240234375,92.58135986328125
71,10107.9912109375,240.80886840820312,415.0552978515625,414.653076171875,94.66690063476562
72,10108.990234375,241.22299194335938,409.533203125,409.300048828125,97.56614685058594
73,10109.9892578125,242.75936889648438,411.46148681640625,410.9146423339844,103.46949768066406
74,10110.6533203125,243.36651611328125,403.69793701171875,404.568603515625,110.26861572265625
75,10110.9853515625,243.44326782226562,403.0301513671875,403.38177490234375,115.99055480957031
76,10111.3173828125,242.77249145507812,393.5653076171875,396.36273193359375,123.27699279785156
77,10111.9814453125,241.4857177734375,390.220947265625,390.7967834472656,137.75132751464844
